Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,City,last_updated,Measure Display,parent_metro_region,Period Begin,Period End,State,Table Id,Worksheet Filter,active_listings,active_listings_mom,active_listings_yoy,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Number of Records,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region_metro_code,pending_sales,pending_sales_mom,pending_sales_yoy,Period Duration,Price Drops,Price Drops Mom,Price Drops Yoy,property_type_id,region_type_id,Sold Above List,Sold Above List Mom,Sold Above List Yoy
"Boston, MA metro area",June 2017,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",6/1/2017,6/30/2017,,14454,Value,15329,-0.008152701,-0.089672783,1.011830798,0.3%,1.0%,6430,38.5%,0.0%,8814,1.5%,-15.4%,8,-2,-2,265.967423251,-0.002359626,0.058854384,469900,-0.040824658,0.046547884,266.295707472,0.020245429,0.061438961,$478K,5.1%,6.5%,1.4,-0.5,-0.2,6742,-10.8%,-3.6%,1,0.614396756,-0.060579275,0.028397109,14454,5918,-0.054330457,0.046137529,30,0.323349217,0.028763964,0.005559925,-1,-2,0.506998445,0.033064796,0.085626536
"Boston, MA metro area",February 2018,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",2/1/2018,2/28/2018,,14454,Value,8985,0.105846154,-0.071221832,0.992871701,0.2%,0.4%,2117,-29.7%,-4.6%,5422,8.9%,-12.5%,28,3,-7,276.998368679,0.029903336,0.055408260,500000,0.044092005,0.022611996,260.904158030,0.005484486,0.112489521,$439K,-3.3%,9.0%,2.6,0.9,-0.2,4062,40.7%,12.2%,1,0.679581152,0.133889246,0.042197974,14454,2865,0.246736292,0.071028037,30,0.173552195,-0.014839048,0.009654792,-1,-2,0.337269721,0.016113959,0.035918370
"Boston, MA metro area",April 2018,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",4/1/2018,4/30/2018,,14454,Value,12817,0.213846008,-0.039205397,1.009601704,0.9%,0.7%,3555,13.5%,9.8%,7323,29.6%,-8.4%,10,-7,-2,281.084773189,-0.000425651,0.052693709,519900,-0.009714286,0.083125000,277.008310249,0.037935689,0.081321725,$483K,3.8%,8.2%,2.1,0.3,-0.4,7239,39.3%,13.2%,1,0.705005959,-0.017526629,0.006401502,14454,5034,0.171787709,0.048531556,30,0.244708453,0.038336771,0.026126485,-1,-2,0.482419128,0.075331005,0.044320950
"Philadelphia, PA metro area",December 2018,All Residential,Metro,False,PA,,6/14/2020 3:16:51 PM,,"Philadelphia, PA",12/1/2018,12/31/2018,,37964,Value,8011,-0.113238875,-0.162817431,0.964805136,0.0%,0.2%,1980,-7.6%,-9.8%,5865,-10.8%,-16.7%,37,2,-20,133.371472159,-0.035690135,0.066971777,180000,-0.027027027,0.059446733,136.045153076,-0.050847769,6.796572983e-05,$190K,-4.5%,0.0%,3,-0.1,-0.2,1479,-30.7%,0.0%,1,0.272658035,-0.028812553,0.035567126,37964,1313,-0.257352941,-0.045090909,30,0.182779199,-0.082589030,0.045504792,-1,-2,0.183838384,-0.005237246,0.025823812
"Seattle, WA metro area",January 2013,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",1/1/2013,1/31/2013,,42644,Value,9474,0.078920396,-0.298793576,0.991595797,0.2%,1.8%,2281,-26.3%,19.4%,6058,-4.1%,-41.3%,40,3,-28,174.718446602,0.098230236,0.142722472,319950,0.093905991,0.134775669,159.735973597,-0.018807276,0.131286575,$290K,-6.5%,14.6%,2.7,0.7,-2.7,3254,82.2%,15.7%,1,0.537574722,0.081957094,0.165705744,42644,2342,0.453755431,0.504174695,30,0.205348300,0.066019611,-0.075023721,-1,-2,0.277071460,-0.012980220,0.094872507
"Seattle, WA metro area",January 2014,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",1/1/2014,1/31/2014,,42644,Value,10024,0.043297252,0.058053620,0.990103653,-0.1%,-0.1%,2194,-30.1%,-3.8%,6631,-4.2%,9.5%,44,10,4,192.287735849,0.085563148,0.100557724,349950,0.147377049,0.093764651,184.746835443,-0.014432497,0.156576263,$330K,-5.7%,13.8%,3,0.8,0.3,3173,76.9%,-2.5%,1,0.505301982,0.144495066,-0.032272740,42644,2169,0.250144092,-0.073868488,30,0.268586940,0.067576110,0.063238640,-1,-2,0.275752051,0.016433797,-0.001319409
"Seattle, WA metro area",September 2019,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",9/1/2019,9/30/2019,,42644,Value,11890,-0.017598942,-0.101284958,0.994860098,-0.1%,-0.1%,3783,-16.7%,9.0%,7457,-0.6%,-18.4%,21,3,4,317.962103760,0.050799055,-0.005533373,579950,0.064128440,0.003373702,295.291244992,-0.027064147,-0.011122356,$540K,-3.6%,-0.9%,2,0.3,-0.6,4426,1.1%,-12.0%,1,0.521500959,0.040181711,0.083011650,42644,3651,-0.059263077,0.013885032,30,0.367439989,0.008612541,-0.029321144,-1,-2,0.270948982,-0.024140205,-0.016288125
"Los Angeles, CA metro area",November 2012,All Residential,Metro,False,CA,,6/14/2020 3:16:51 PM,,"Los Angeles, CA",11/1/2012,11/30/2012,,31084,Value,18830,-0.122635356,-0.471260495,0.993632879,0.2%,1.7%,6687,-7.8%,14.0%,11825,-9.9%,-57.5%,32,-3,-33,253.406593407,0.000904410,0.165670330,374000,0.013550136,0.187301587,242.718446602,0.028386797,0.110679612,$350K,1.4%,12.9%,1.8,0,-2.9,5913,-16.3%,-12.8%,1,0.493605190,0.002690303,0.195482593,31084,5395,-0.140102008,0.220312147,30,0.192473573,-0.027826663,-0.025456273,-1,-2,0.371766113,0.018070581,0.104883439
"Los Angeles, CA metro area",March 2014,All Residential,Metro,False,CA,,6/14/2020 3:16:51 PM,,"Los Angeles, CA",3/1/2014,3/31/2014,,31084,Value,21000,0.076757422,0.225061253,0.994985755,0.3%,-0.7%,5521,23.9%,-16.3%,13616,4.8%,42.9%,25,-6,5,320.117210816,0.014480543,0.122378099,489999,0.022962422,0.139797627,309.228547238,0.019472528,0.189652459,$450K,3.4%,15.4%,2.5,-0.4,1.1,8135,18.8%,8.9%,1,0.495116703,-0.007661075,-0.110074554,31084,6041,0.198611111,-0.083029751,30,0.218786722,0.012508350,0.030244071,-1,-2,0.363521101,0.027196219,-0.060872838
"Los Angeles, CA metro area",April 2014,All Residential,Metro,False,CA,,6/14/2020 3:16:51 PM,,"Los Angeles, CA",4/1/2014,4/30/2014,,31084,Value,21683,0.032523810,0.210258986,0.995133241,0.0%,-1.0%,6304,14.2%,-7.4%,13940,2.4%,35.2%,23,-2,6,322.987095023,0.008965104,0.086516137,498000,0.016328605,0.106666667,312.409629844,0.010287157,0.154874265,$460K,2.2%,13.6%,2.2,-0.3,0.7,8219,1.0%,-3.5%,1,0.465266063,-0.029850639,-0.141797628,31084,6521,0.079457044,-0.036352889,30,0.234361549,0.015574828,0.059744524,-1,-2,0.371192893,0.007671792,-0.080173548
"Los Angeles, CA metro area",July 2014,All Residential,Metro,False,CA,,6/14/2020 3:16:51 PM,,"Los Angeles, CA",7/1/2014,7/31/2014,,31084,Value,23974,0.058454746,0.145218305,0.996845332,0.0%,-1.3%,6762,4.4%,-7.3%,16931,9.1%,29.1%,21,-1,6,332.503541076,0.009694762,0.088728409,499500,0.001002004,0.098224592,323.760100200,0.026753215,0.095910533,$475K,2.2%,10.2%,2.5,0.1,0.7,8640,2.8%,-5.3%,1,0.450823849,-0.022490987,-0.084023112,31084,5887,-0.039170883,-0.154045121,30,0.268324375,0.008609224,0.040563113,-1,-2,0.371931381,0.007565162,-0.119914583
"Los Angeles, CA metro area",January 2016,All Residential,Metro,False,CA,,6/14/2020 3:16:51 PM,,"Los Angeles, CA",1/1/2016,1/31/2016,,31084,Value,20051,0.016939697,-0.049850732,0.988611596,-0.1%,0.5%,4689,-28.7%,5.9%,14404,9.6%,-2.2%,43,5,-6,357.801943171,0.073405830,0.064758260,529900,0.061923848,0.061923848,341.090018371,-0.010872128,0.079384865,$500K,-2.0%,7.5%,3.1,1.1,-0.2,7055,62.3%,-4.1%,1,0.390893257,0.069512115,-0.011715830,31084,4019,-0.110447100,-0.096041386,30,0.160441544,0.014387811,-0.019209342,-1,-2,0.321817019,-0.011972311,0.059455312
"Los Angeles, CA metro area",August 2016,All Residential,Metro,False,CA,,6/14/2020 3:16:51 PM,,"Los Angeles, CA",8/1/2016,8/31/2016,,31084,Value,27793,0.044810345,0.071351476,0.997073195,0.0%,0.1%,7176,6.1%,3.8%,19473,4.3%,10.5%,35,2,4,367.657090121,-0.013889256,0.052637480,545000,-0.009090909,0.048248271,371.024734982,0.008947908,0.074544713,$545K,0.4%,6.9%,2.7,-0.100000000,0.2,9274,1.6%,9.3%,1,0.347793568,-0.002678788,-0.023698637,31084,6685,0.035310516,-0.007423905,30,0.213577774,0.005286842,-0.025893221,-1,-2,0.398132664,-0.014171388,0.019406181
"Los Angeles, CA metro area",December 2017,All Residential,Metro,False,CA,,6/14/2020 3:16:51 PM,,"Los Angeles, CA",12/1/2017,12/31/2017,,31084,Value,18380,-0.163366562,-0.141362235,0.997628106,-0.2%,0.7%,5985,0.1%,-5.3%,12181,-18.0%,-17.1%,45,4,-4,395.154289521,-0.022368396,0.081474898,565000,-0.053204860,0.066037736,397.511329904,-0.002745821,0.102773367,$585K,-0.6%,9.3%,2,-0.5,-0.3,3590,-36.1%,-7.3%,1,0.241218888,-0.026883246,0.027376626,31084,4299,-0.180830793,-0.011496896,30,0.105492160,-0.052863046,-0.011070170,-1,-2,0.399498747,-0.009333639,0.056465377
"Los Angeles, CA metro area",January 2019,All Residential,Metro,False,CA,,6/14/2020 3:16:51 PM,,"Los Angeles, CA",1/1/2019,1/31/2019,,31084,Value,23004,0.025316456,0.208256736,0.984892214,-0.4%,-1.1%,3847,-21.6%,-14.0%,17533,7.5%,31.3%,59,8,12,424.045041682,0.030485003,0.030054572,639000,0.066777963,0.047540984,405.219780220,-0.013529481,0.026008128,$591K,-1.5%,2.8%,4.6,1.3,1.6,6820,96.9%,-2.3%,1,0.266465257,0.095552306,-0.086609914,31084,3310,-0.121549894,-0.162237408,30,0.181885587,0.052013069,0.038964273,-1,-2,0.290616064,-0.035036464,-0.094532672
"Washington, DC metro area",August 2014,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",8/1/2014,8/31/2014,,47894,Value,26060,0.003349632,0.202029520,0.987122626,-0.2%,-0.5%,5706,-7.9%,-9.2%,19643,0.1%,27.6%,29,6,7,182.123341140,-0.037652147,-0.001764443,350000,-0.066417711,0.014492754,190.530736922,-0.014921602,0.007170755,$368K,-1.9%,0.8%,3.4,0.2,0.9,6684,-13.0%,-1.6%,1,0.373776075,-0.047139742,-0.091453693,47894,4698,-0.060587882,-0.044733632,30,0.266099883,-0.020327670,0.035965389,-1,-2,0.210480196,-0.029997531,-0.066342472
"Washington, DC metro area",October 2017,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",10/1/2017,10/31/2017,,47894,Value,22813,-0.021992626,-0.015067783,0.991271114,0.1%,0.3%,6040,4.4%,9.6%,15438,-5.5%,-5.1%,28,-1,-8,206.573070116,-0.043764893,0.026549887,385000,-0.0375,0.040821844,203.993055556,0.037137902,0.065713008,$379K,2.8%,5.0%,2.6,-0.2,-0.4,6624,-13.4%,8.5%,1,0.435679392,-0.034669767,0.025213325,47894,5527,0.021060410,0.129803761,30,0.298419484,0.010256919,0.037817149,-1,-2,0.258609272,0.021444189,0.026068005
"Chicago, IL metro area",September 2013,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",9/1/2013,9/30/2013,,16984,Value,41913,-0.023029766,-0.103369344,0.973253172,-0.2%,1.7%,8338,-16.7%,26.7%,32888,1.8%,-13.5%,41,3,-22,124.905248147,0.015489822,0.176336056,199000,0.021036429,0.244527830,118.961750081,-0.047453460,0.148002413,$185K,-6.4%,15.6%,3.9,0.7,-1.9,10182,-10.0%,15.6%,1,0.340545777,-0.018924421,0.024448019,16984,6193,-0.179735099,0.250858412,30,0.237715884,-0.011502213,-0.013138614,-1,-2,0.237946750,-0.003191543,0.046609364
"Chicago, IL metro area",January 2017,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",1/1/2017,1/31/2017,,16984,Value,32345,-0.008673532,-0.075830738,0.963999498,-0.2%,0.1%,5552,-22.1%,1.8%,24080,-0.4%,-11.1%,62,8,-4,148,0.162261044,0.080349891,240000,0.211026395,0.066666667,129.941117981,-0.030860072,0.068205604,$208K,-3.6%,9.6%,4.3,0.9,-0.7,8499,84.3%,3.3%,1,0.409654273,0.145902834,0.041145854,16984,4599,0.058457998,0.090585724,30,0.192857143,0.041902045,0.003981386,-1,-2,0.170389049,-0.001328123,0.004302890
"Chicago, IL metro area",December 2018,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",12/1/2018,12/31/2018,,16984,Value,31556,-0.145333406,0.036696344,0.966886991,-0.2%,-0.3%,6146,-13.8%,-14.0%,23564,-14.3%,6.4%,54,7,5,138.918520057,-0.029947598,0.022297827,215000,-0.053280493,0,140.716902243,-0.024694591,-0.003324259,$229K,-2.6%,1.4%,3.8,-0.1,0.7,4230,-33.6%,-7.8%,1,0.255555556,-0.004526896,-0.044687109,16984,4140,-0.257931529,-0.086697551,30,0.143905958,-0.077099571,0.007378093,-1,-2,0.168564920,9.809463160e-05,-0.012274241
"Boston, MA metro area",March 2012,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",3/1/2012,3/31/2012,,14454,Value,26055,0.168700099,0.021204045,0.960948600,0.5%,0.3%,2888,34.2%,15.9%,22492,15.5%,1.0%,145,3,-3,217.296511628,0.028732771,-0.020852631,375000,0.019021739,0.016260163,184.823441022,0.047634422,0.000179694,$305K,5.2%,1.7%,7.8,-1.2,-1.1,7123,49.8%,0.1%,1,0.109579100,-0.028351934,0.005223383,14454,1378,0.583908046,0.250453721,30,0.164414014,0.009268163,-0.031922358,-1,-2,0.137465374,0.009212586,0.017080141
"Boston, MA metro area",April 2015,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",4/1/2015,4/30/2015,,14454,Value,17108,0.117950729,-0.276433768,0.988755626,0.5%,0.0%,2979,14.9%,-9.1%,10610,17.0%,-46.4%,50,-50,-26,241.448403352,0.005959807,0.034302641,439000,0.032941176,0.047732697,225.108225108,0.013348923,0.004883117,$385K,2.7%,4.9%,3.6,0.1,-2.4,8256,50.8%,11.9%,1,0.686182229,0.113685245,0.601111337,14454,5312,0.281544029,1.215179316,30,0.209990575,0.055219477,0.078980474,-1,-2,0.312520980,0.059048758,0.010507557
"Boston, MA metro area",October 2015,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",10/1/2015,10/31/2015,,14454,Value,17939,-0.014340659,-0.243782143,0.986926930,-0.3%,0.5%,4268,-8.5%,7.3%,12025,-6.3%,-34.9%,22,2,-60,238.755293982,-0.012796872,0.025665123,419000,-0.014117647,0.050125313,229.064434058,-0.003463547,0.038900888,$390K,-1.3%,5.4%,2.8,0,-1.8,5234,-19.0%,7.4%,1,0.454359673,-0.059226618,0.407757041,14454,4404,0.078090575,0.566702241,30,0.346029106,0.029419570,0.122844779,-1,-2,0.291002812,-0.011397531,0.042196579
"Boston, MA metro area",December 2017,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",12/1/2017,12/31/2017,,14454,Value,8866,-0.256083235,-0.105348133,0.994380084,-0.3%,0.5%,3956,-12.0%,-8.4%,5288,-26.9%,-16.3%,21,6,-2,249.954545455,-0.052019135,0.045050649,420000,-0.066459213,0.077199282,258.092087124,-0.011962763,0.052463226,$455K,0.0%,8.3%,1.3,-0.3,-0.2,1685,-52.1%,-7.4%,1,0.381646317,-0.053523861,-0.004216468,14454,2539,-0.314154511,0.055717256,30,0.167360061,-0.116219964,0.001881042,-1,-2,0.349595551,-0.034112439,0.038715921
"Boston, MA metro area",March 2020,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",3/1/2020,3/31/2020,,14454,Value,11824,0.143299168,-0.059272814,0.999986170,1.1%,0.7%,3160,33.7%,-2.2%,6915,2.7%,-7.0%,24,-25,2,303.542510121,-0.007038603,0.036727263,564000,-0.019130435,0.034957336,296.591508932,0.034396655,0.076572250,$525K,6.0%,11.2%,2.2,-0.6,-0.100000000,5139,17.2%,-12.0%,1,0.367615403,0.033791332,-0.294057794,14454,4181,0.538829591,-0.036413920,30,0.181344902,0.036875712,-0.045346878,-1,-2,0.410759494,0.120150357,0.078251754
